username,password,phone
zhangsan,123456,13800000000
lisi,abcdef,13900000000
wangwu,qwerty,13800000003
zhaoliu,pass123,13900000003
sunqi,iloveu,13900000004
zhouba,000000,13900000005
wujiu,13900000006,13800000006
zhengshi,test@#$,13900000007
qianyi,longpass,13900000008
xuchangming,1q2w3e,13800000005
alice,alice123,13900000010
bob,bobpass,13900000011
charlie,chpass,13900000012
david,david123,13900000013
elva,elvapass,13900000014
frank,frank123,13900000015
grace,grace456,13900000016
henry,henry789,13900000017
ivan,ivanpass,13900000018
judy,judy456,13900000019
